Simulation 1 - π/2
Mass,mO Fit,mO Fit with noise,xi. omega fit,xi. omega fit with noise,Position Root,Derivative Root
500,1961.81,1961.67,2342.9,2342.75,2264.22,2328.42
1000,2549.08,2549.11,2624.34,2624.27,2601.3,2647.63
1500,2723.48,2723.28,2786.67,2787.8,2773.4,2801.85
2000,2861.5,2861.68,2882.58,2883.93,2876.89,2893.72
2500,2944.58,2944.66,2949.67,2950.59,2997.18,2955.33
3000,2999.14,2999.1,3000,3000.61,2999.26,3000
3500,3038.02,3037.86,3039.15,3040.99,3038.8,3034.23
4000,3069.22,3069.15,3070.22,3069.78,3070.92,3061.56
4500,3095.15,3095.44,3097.67,3097.53,3097.45,3084.09
5000,3117.14,3117.11,3120.51,3120.35,3119.52,3103.35
